vehicle_type,make,model,year,vehicle_age_years,mileage,fuel_type,transmission,engine_size_cc,severity_level,symptoms,symptom_count,probable_cause,repair_type,estimated_cost_min_mad,estimated_cost_max_mad
car,Ford,Ranger,2017,7,244507,diesel,manual,1600,medium,"AC not cooling well, high fuel consumption",2,Low refrigerant,Refill AC refrigerant,577,1058
truck,Isuzu,D-Max,2015,9,156530,hybrid,manual,4000,medium,"noise when braking, brake pedal vibration, vehicle wanders on road",3,Disc surface wear,Replace brake discs,2139,3565
car,Peugeot,308,2014,10,167811,petrol,manual,1600,medium,"loss of power, engine knocking noise, rough idle",3,Timing belt tensioner failure,Replace timing belt,2320,4105
car,Toyota,Yaris,2013,11,279473,diesel,manual,2200,medium,AC not cooling well,1,AC gas leak,Refill AC refrigerant,625,1145
car,BMW,Serie 3,2009,15,181627,petrol,manual,2200,critical,"noise when braking, car pulls to one side, burning smell",3,Seized caliper,Replace brake caliper,3143,5659
moto,Yamaha,MT-07,2008,16,133769,diesel,manual,125,low,"high fuel consumption, difficulty starting, engine overheating",3,Thermostat valve failure,Replace thermostat,675,1200
car,Hyundai,i10,2021,3,231064,hybrid,automatic,2500,critical,"car pulls to one side, burning smell",2,Caliper hydraulic leak,Replace brake caliper,3147,5666
moto,Yamaha,R3,2024,0,218033,diesel,automatic,600,medium,"rough idle, engine overheating, coolant level dropping, white smoke from exhaust",4,Overheating damage to gasket,Replace head gasket,6529,11427
moto,Honda,Forza,2005,19,129726,petrol,manual,250,medium,"burning smell, AC making noise",2,Compressor clutch wear,Replace AC compressor,4854,8737
truck,Isuzu,Forward,2022,2,58773,hybrid,automatic,6000,critical,"loss of power, engine knocking noise, rough idle, black smoke from exhaust",4,Timing belt tensioner failure,Replace timing belt,3386,5992
car,Volkswagen,Passat,2020,4,160451,petrol,manual,1400,critical,"coolant overflow, coolant level dropping, engine overheating",3,Radiator crack,Replace radiator,3868,6545
car,Mercedes,Vito,2017,7,114150,hybrid,manual,1400,high,"vehicle wanders on road, clunking when turning, suspension noise",3,Ball joint wear,Replace ball joint,1796,3143
bus,Volvo,FM,2012,12,238881,hybrid,automatic,6000,low,"engine overheating, rough idle, white smoke from exhaust, loss of power",4,Overheating damage to gasket,Replace head gasket,6900,12075
car,Toyota,Corolla,2020,4,150597,petrol,manual,1200,high,"battery warning light, difficulty starting, dim headlights",3,Dead battery,Replace battery,1304,2174
car,Kia,Cerato,2014,10,269868,petrol,manual,1600,high,"loss of power, engine knocking noise",2,Timing belt wear,Replace timing belt,3805,6732
moto,Yamaha,FZ6,2005,19,265589,hybrid,automatic,400,high,"car pulls to one side, brake pedal vibration, noise when braking",3,Brake pad degradation,Replace brake pads,1800,3300
car,Volkswagen,Tiguan,2009,15,131554,petrol,manual,1800,medium,"white smoke from exhaust, rough idle, engine overheating, loss of power",4,Overheating damage to gasket,Replace head gasket,7040,12321
car,Hyundai,i10,2008,16,161872,diesel,manual,1600,low,"black smoke from exhaust, rough idle, fuel smell",3,Injector seal failure,Replace fuel injectors,1458,2770
car,Peugeot,Partner,2021,3,349426,petrol,automatic,1600,critical,"noise when braking, brake pedal vibration",2,Brake pad degradation,Replace brake pads,2024,3711
car,Dacia,Logan,2022,2,165662,hybrid,manual,2200,high,"engine overheating, coolant level dropping, coolant overflow",3,Radiator corrosion,Replace radiator,2753,4659
car,Mercedes,Vito,2012,12,113413,petrol,automatic,1000,medium,"car pulls to one side, burning smell, noise when braking",3,Caliper hydraulic leak,Replace brake caliper,1632,2938
truck,Isuzu,NQR,2023,1,23926,hybrid,manual,3000,high,"noise when braking, brake pedal vibration",2,Warped brake disc,Replace brake discs,2126,3544
car,Volkswagen,Caddy,2007,17,160808,hybrid,automatic,2500,medium,"coolant level dropping, engine overheating, coolant overflow, white smoke from exhaust",4,Radiator corrosion,Replace radiator,2614,4424
car,Volkswagen,Passat,2013,11,244495,hybrid,automatic,1000,high,excessive bouncing,1,Shock absorber oil leak,Replace shock absorbers,2752,4754
car,Renault,Clio,2024,0,198600,petrol,manual,1800,high,"engine knocking noise, low oil level warning, oil stain under vehicle, burning smell",4,Oil pan seal failure,Fix oil leak,1787,3351
car,BMW,Serie 1,2019,5,266691,petrol,manual,2200,low,"brake pedal feels soft, burning smell",2,Seized caliper,Replace brake caliper,1417,2550
car,Kia,Carnival,2010,14,327759,diesel,automatic,1600,high,"electrical accessories failing, battery warning light, dim headlights, difficulty starting",4,Alternator belt wear,Replace alternator,3677,6435
bus,Volvo,FH16,2016,8,308563,hybrid,manual,8000,high,"battery warning light, electrical accessories failing, dim headlights",3,Alternator belt wear,Replace alternator,3173,5553
car,Toyota,Yaris,2005,19,23390,petrol,manual,1600,critical,clunking when turning,1,Ball joint socket failure,Replace ball joint,2260,3956
moto,Honda,CB500,2007,17,167828,petrol,automatic,250,medium,"coolant overflow, coolant level dropping, engine overheating",3,Radiator corrosion,Replace radiator,2676,4529
moto,Yamaha,MT-07,2018,6,200076,diesel,automatic,125,low,"gear slipping, difficulty changing gears",2,Gearbox synchronizer failure,Repair gearbox,5116,9502
moto,Yamaha,FZ6,2018,6,107378,petrol,manual,125,low,"transmission jerking, clutch slipping, burning smell, difficulty changing gears",4,Worn clutch disc,Replace clutch kit,2723,4765
truck,Isuzu,NPR,2012,12,286967,diesel,manual,6000,low,"vehicle wanders on road, suspension noise, excessive bouncing",3,Shock absorber oil leak,Replace shock absorbers,1874,3236
truck,Ford,Kuga,2010,14,192985,diesel,manual,5000,high,"transmission jerking, clutch slipping",2,Worn clutch disc,Replace clutch kit,5569,9745
car,Toyota,Land Cruiser,2018,6,24871,petrol,manual,1600,medium,"check engine light, engine knocking noise, rough idle",3,Timing belt tensioner failure,Replace timing belt,1944,3439
car,BMW,Serie 1,2008,16,224891,diesel,manual,2000,high,"car pulls to one side, brake pedal feels soft",2,Seized caliper,Replace brake caliper,2724,4903
truck,Ford,Transit,2014,10,186615,diesel,automatic,3000,high,"vehicle wanders on road, excessive bouncing",2,Worn shock absorbers,Replace shock absorbers,2840,4907
truck,Mercedes,A-Class,2007,17,92783,hybrid,automatic,6000,medium,"noise when braking, brake pedal vibration",2,Brake pad degradation,Replace brake pads,1079,1979
moto,Yamaha,NMAX,2008,16,121895,hybrid,manual,700,medium,"rough idle, high fuel consumption, engine overheating",3,Stuck thermostat,Replace thermostat,899,1599
car,Ford,Ranger,2015,9,144800,hybrid,manual,1000,medium,oil stain under vehicle,1,Oil pan seal failure,Fix oil leak,1395,2616
bus,Isuzu,Forward,2006,18,112323,diesel,manual,6000,high,"vehicle wanders on road, brake pedal vibration",2,Disc surface wear,Replace brake discs,2925,4875
car,Hyundai,Tucson,2013,11,303740,hybrid,manual,2500,low,"engine stalls, rough idle",2,Fouled spark plugs,Replace spark plugs,486,972
car,BMW,X5,2009,15,226037,hybrid,automatic,1400,low,"fuel smell, high fuel consumption, rough idle, black smoke from exhaust",4,Injector seal failure,Replace fuel injectors,1621,3080
moto,Honda,Forza,2017,7,348765,hybrid,automatic,400,low,"high fuel consumption, difficulty starting, rough idle",3,Fouled spark plugs,Replace spark plugs,503,1006
car,Toyota,Hilux,2021,3,341342,diesel,manual,1400,critical,"vehicle wanders on road, suspension noise",2,Ball joint wear,Replace ball joint,2774,4855
car,Dacia,Dokker,2019,5,259685,hybrid,manual,1000,critical,difficulty changing gears,1,Clutch pressure plate failure,Replace clutch kit,7207,12613
car,BMW,Serie 3,2007,17,144148,petrol,manual,1200,critical,clutch slipping,1,Worn clutch disc,Replace clutch kit,6905,12084
truck,Isuzu,D-Max,2009,15,209397,diesel,automatic,5000,medium,"engine overheating, difficulty starting, rough idle",3,Thermostat valve failure,Replace thermostat,950,1689
car,Peugeot,208,2017,7,42473,petrol,manual,2000,medium,"dim headlights, difficulty starting",2,Battery cell failure,Replace battery,970,1616
car,BMW,Serie 3,2010,14,294858,hybrid,automatic,2000,medium,"engine overheating, rough idle",2,Thermostat valve failure,Replace thermostat,1043,1854
car,Toyota,Yaris,2012,12,234244,petrol,manual,1000,medium,"suspension noise, vehicle wanders on road, excessive bouncing",3,Shock absorber oil leak,Replace shock absorbers,2339,4041
car,BMW,Serie 3,2013,11,302859,hybrid,automatic,1400,high,"loss of power, rough idle, engine knocking noise",3,Timing belt tensioner failure,Replace timing belt,3754,6642
truck,Isuzu,D-Max,2010,14,233512,diesel,automatic,5000,critical,AC not cooling well,1,Low refrigerant,Refill AC refrigerant,1049,1924
car,Peugeot,Partner,2014,10,62632,hybrid,automatic,1800,high,"clunking when turning, vehicle wanders on road, suspension noise",3,Ball joint socket failure,Replace ball joint,1661,2908
car,Kia,Cerato,2010,14,312509,diesel,manual,2000,low,"electrical accessories failing, battery warning light",2,Alternator failure,Replace alternator,2216,3878
car,Volkswagen,Caddy,2021,3,237537,hybrid,automatic,2200,medium,"vehicle wanders on road, clunking when turning",2,Ball joint socket failure,Replace ball joint,1536,2689
car,Toyota,Yaris,2017,7,234856,hybrid,manual,1800,medium,AC making noise,1,AC compressor failure,Replace AC compressor,5141,9255
car,Ford,Fiesta,2023,1,86575,diesel,manual,2000,high,engine overheating,1,Thermostat valve failure,Replace thermostat,870,1547
truck,Isuzu,NQR,2015,9,66706,hybrid,automatic,3000,medium,AC not cooling well,1,Low refrigerant,Refill AC refrigerant,516,947
moto,Yamaha,NMAX,2021,3,40931,diesel,manual,400,medium,"excessive bouncing, vehicle wanders on road, suspension noise",3,Worn shock absorbers,Replace shock absorbers,1667,2880
bus,Mercedes,A-Class,2015,9,251019,hybrid,manual,7000,critical,"rough idle, engine overheating",2,Stuck thermostat,Replace thermostat,1581,2811
moto,Honda,CB500,2011,13,274344,petrol,automatic,400,high,"battery warning light, dim headlights, electrical accessories failing",3,Alternator failure,Replace alternator,3347,5858
car,Kia,Cerato,2014,10,252192,hybrid,automatic,1800,medium,"black smoke from exhaust, engine stalls, high fuel consumption",3,Injector seal failure,Replace fuel injectors,2191,4164
car,Hyundai,i30,2024,0,106781,hybrid,manual,1400,low,"white smoke from exhaust, coolant level dropping, coolant overflow",3,Radiator crack,Replace radiator,1576,2668
car,Kia,Cerato,2017,7,22108,hybrid,manual,2000,medium,"gear slipping, difficulty changing gears",2,Gearbox bearing wear,Repair gearbox,4852,9011
bus,Isuzu,NPR,2011,13,233801,diesel,manual,6000,medium,"clunking when turning, vehicle wanders on road",2,Ball joint wear,Replace ball joint,1757,3075
car,Dacia,Sandero,2013,11,165020,diesel,automatic,1400,high,AC not cooling well,1,AC gas leak,Refill AC refrigerant,782,1435
moto,Honda,CRF,2019,5,272112,petrol,automatic,400,medium,"high fuel consumption, engine stalls, rough idle",3,Spark plug electrode wear,Replace spark plugs,621,1243
car,Renault,Clio,2006,18,217604,diesel,automatic,2000,medium,"transmission jerking, difficulty changing gears, gear slipping",3,Gearbox synchronizer failure,Repair gearbox,7858,14593
car,Kia,Rio,2023,1,35573,petrol,manual,1600,critical,"fuel smell, high fuel consumption, engine stalls",3,Injector seal failure,Replace fuel injectors,2339,4445
moto,Yamaha,XT660,2024,0,169089,diesel,manual,400,medium,"coolant level dropping, white smoke from exhaust, engine overheating",3,Overheating damage to gasket,Replace head gasket,6986,12226
truck,Isuzu,NPR,2017,7,218258,diesel,automatic,3500,medium,engine overheating,1,Stuck thermostat,Replace thermostat,882,1568
car,Kia,Sportage,2016,8,136840,petrol,automatic,1000,high,"black smoke from exhaust, rough idle, check engine light",3,Failed O2 sensor,Replace oxygen sensor,1357,2489
car,Renault,Symbol,2011,13,236110,diesel,manual,2000,low,"noise when braking, brake pedal vibration",2,Disc surface wear,Replace brake discs,2022,3371
car,Dacia,Dokker,2010,14,109677,diesel,manual,1200,high,"engine overheating, coolant overflow",2,Radiator corrosion,Replace radiator,3232,5470
bus,Volvo,B8R,2006,18,249502,diesel,automatic,5000,medium,coolant overflow,1,Radiator pinhole leak,Fix coolant leak,1297,2378
truck,Mercedes,C-Class,2008,16,322171,diesel,automatic,3000,medium,"battery warning light, check engine light, dim headlights, difficulty starting",4,Battery cell failure,Replace battery,1493,2489
car,Dacia,Duster,2021,3,286893,petrol,automatic,1400,medium,difficulty changing gears,1,Worn clutch disc,Replace clutch kit,4159,7279
car,Toyota,RAV4,2018,6,84748,diesel,manual,1400,low,"oil stain under vehicle, low oil level warning",2,Valve cover gasket leak,Fix oil leak,1003,1881
truck,Mercedes,Vito,2017,7,58188,diesel,manual,5000,medium,"AC making noise, AC not cooling well",2,Compressor clutch wear,Replace AC compressor,3642,6556
car,Peugeot,Partner,2015,9,65493,petrol,automatic,1800,low,"difficulty changing gears, gear slipping, transmission jerking",3,Gearbox synchronizer failure,Repair gearbox,4542,8436
car,Renault,Kangoo,2009,15,8301,hybrid,manual,2200,critical,battery warning light,1,Battery cell failure,Replace battery,1508,2514
car,Toyota,Yaris,2009,15,323459,petrol,automatic,1800,high,"vehicle wanders on road, clunking when turning, suspension noise",3,Ball joint socket failure,Replace ball joint,2417,4230
truck,Isuzu,D-Max,2012,12,311774,diesel,automatic,6000,low,"engine overheating, coolant level dropping, sweet smell from engine bay",3,Radiator pinhole leak,Fix coolant leak,1098,2013
car,Ford,Kuga,2009,15,331999,diesel,automatic,2000,medium,AC not cooling well,1,AC gas leak,Refill AC refrigerant,765,1402
car,Toyota,Land Cruiser,2013,11,256458,petrol,automatic,1800,high,"dim headlights, battery warning light, electrical accessories failing",3,Alternator failure,Replace alternator,3384,5922
bus,Volvo,9700,2009,15,156662,petrol,manual,7000,high,"coolant level dropping, coolant overflow, engine overheating",3,Radiator corrosion,Replace radiator,3123,5286
car,Ford,Transit,2018,6,196795,petrol,automatic,1400,medium,"sweet smell from engine bay, coolant overflow, coolant level dropping",3,Cracked coolant hose,Fix coolant leak,1134,2080
moto,Honda,CRF,2023,1,26628,petrol,automatic,700,high,AC not cooling well,1,AC gas leak,Refill AC refrigerant,570,1046
moto,Yamaha,MT-07,2016,8,281826,diesel,automatic,700,critical,"oil stain under vehicle, burning smell, low oil level warning",3,Valve cover gasket leak,Fix oil leak,3043,5706
car,Mercedes,A-Class,2015,9,45452,hybrid,manual,1800,high,AC not cooling well,1,AC gas leak,Refill AC refrigerant,599,1099
car,Ford,Kuga,2012,12,204111,hybrid,automatic,1600,medium,"brake pedal vibration, noise when braking, vehicle wanders on road",3,Disc surface wear,Replace brake discs,2307,3846
car,Renault,Megane,2007,17,191442,diesel,manual,1000,low,"coolant overflow, coolant level dropping, engine overheating",3,Radiator corrosion,Replace radiator,2114,3578
bus,Mercedes,A-Class,2022,2,340034,diesel,manual,7000,medium,"electrical accessories failing, difficulty starting, battery warning light",3,Alternator failure,Replace alternator,2445,4279
car,Toyota,Corolla,2013,11,30217,hybrid,manual,1400,high,"engine overheating, white smoke from exhaust, rough idle, loss of power",4,Overheating damage to gasket,Replace head gasket,8122,14214
moto,Honda,Forza,2014,10,91907,hybrid,manual,400,high,"battery warning light, dim headlights",2,Alternator belt wear,Replace alternator,2556,4474
car,Dacia,Dokker,2014,10,54928,diesel,automatic,2000,medium,"brake pedal vibration, vehicle wanders on road, noise when braking",3,Disc surface wear,Replace brake discs,1923,3205
car,Mercedes,A-Class,2005,19,123266,diesel,manual,1200,high,"difficulty starting, dim headlights, battery warning light",3,Battery cell failure,Replace battery,1551,2586
moto,Yamaha,FZ6,2016,8,56620,hybrid,automatic,125,medium,"coolant level dropping, white smoke from exhaust, loss of power",3,Overheating damage to gasket,Replace head gasket,5856,10248
car,Hyundai,i20,2023,1,178040,hybrid,manual,2000,high,"high fuel consumption, engine overheating",2,Stuck thermostat,Replace thermostat,938,1668
truck,Ford,Fiesta,2018,6,337246,petrol,manual,3000,medium,"check engine light, AC not cooling well",2,AC gas leak,Refill AC refrigerant,639,1172
truck,Ford,Transit,2022,2,292885,petrol,manual,5000,high,"high fuel consumption, engine overheating, difficulty starting",3,Stuck thermostat,Replace thermostat,1114,1981
moto,Yamaha,NMAX,2019,5,140588,hybrid,manual,125,medium,"engine overheating, sweet smell from engine bay, coolant level dropping",3,Cracked coolant hose,Fix coolant leak,1037,1902
car,Mercedes,C-Class,2008,16,212115,hybrid,manual,1800,medium,car pulls to one side,1,Seized caliper,Replace brake caliper,2095,3771
moto,Honda,CBR600,2014,10,207670,petrol,manual,250,low,"engine overheating, coolant overflow, coolant level dropping",3,Radiator corrosion,Replace radiator,1941,3286
moto,Honda,Forza,2014,10,123539,diesel,automatic,600,medium,"battery warning light, dim headlights, difficulty starting",3,Battery cell failure,Replace battery,1058,1764
car,Renault,Clio,2008,16,177811,petrol,automatic,2000,medium,"noise when braking, brake pedal vibration",2,Disc surface wear,Replace brake discs,2233,3722
moto,Honda,CB500,2020,4,18961,diesel,manual,250,medium,"difficulty changing gears, transmission jerking, gear slipping",3,Gearbox bearing wear,Repair gearbox,5162,9588
car,Renault,Kangoo,2012,12,312119,diesel,manual,2200,high,noise when braking,1,Brake pad degradation,Replace brake pads,1804,3307
car,Dacia,Duster,2019,5,98619,diesel,automatic,1600,high,low oil level warning,1,Valve cover gasket leak,Fix oil leak,1771,3320
bus,Isuzu,Forward,2017,7,290239,hybrid,automatic,7000,high,"difficulty changing gears, transmission jerking",2,Gearbox bearing wear,Repair gearbox,9042,16793
car,Volkswagen,Tiguan,2014,10,164459,petrol,automatic,2500,medium,"check engine light, black smoke from exhaust, high fuel consumption",3,Failed O2 sensor,Replace oxygen sensor,1039,1905
car,BMW,X3,2021,3,88920,hybrid,automatic,1400,high,"car pulls to one side, brake pedal feels soft, burning smell",3,Caliper hydraulic leak,Replace brake caliper,2087,3757
car,Peugeot,Partner,2016,8,275881,diesel,manual,1400,medium,"rough idle, high fuel consumption, engine stalls, fuel smell",4,Clogged fuel injector,Replace fuel injectors,2046,3889
car,Peugeot,208,2017,7,128953,petrol,automatic,1800,high,"clunking when turning, vehicle wanders on road, suspension noise",3,Ball joint wear,Replace ball joint,1908,3340
car,Hyundai,i20,2012,12,330337,petrol,manual,2200,high,"engine knocking noise, oil stain under vehicle",2,Valve cover gasket leak,Fix oil leak,2446,4586
moto,Yamaha,FZ6,2007,17,161854,hybrid,manual,400,medium,"white smoke from exhaust, engine overheating",2,Blown head gasket,Replace head gasket,7956,13923
car,Volkswagen,Passat,2007,17,32036,petrol,automatic,1400,low,"rough idle, engine knocking noise",2,Timing belt tensioner failure,Replace timing belt,1759,3112
car,BMW,X3,2016,8,285593,hybrid,automatic,1000,medium,AC making noise,1,Compressor clutch wear,Replace AC compressor,5391,9704
truck,Mercedes,E-Class,2021,3,141177,diesel,automatic,6000,low,"transmission jerking, gear slipping",2,Gearbox synchronizer failure,Repair gearbox,4189,7781
car,Dacia,Sandero,2023,1,110570,petrol,manual,1000,high,AC not cooling well,1,Compressor clutch wear,Replace AC compressor,5127,9229
car,Volkswagen,Golf,2011,13,26160,hybrid,manual,2500,high,"loss of power, brake pedal vibration",2,Disc surface wear,Replace brake discs,2638,4397
car,Toyota,Hilux,2021,3,249891,petrol,automatic,1600,low,"loss of power, rough idle, black smoke from exhaust",3,Timing belt tensioner failure,Replace timing belt,1758,3111
truck,Ford,Focus,2014,10,194808,hybrid,manual,3000,high,coolant overflow,1,Radiator crack,Replace radiator,3151,5333
car,Toyota,Land Cruiser,2016,8,331969,hybrid,automatic,1800,critical,coolant level dropping,1,Cracked coolant hose,Fix coolant leak,2302,4221
car,Peugeot,308,2013,11,316877,diesel,manual,1800,low,"battery warning light, dim headlights",2,Alternator belt wear,Replace alternator,2222,3888
car,Renault,Clio,2008,16,115338,diesel,automatic,1600,high,difficulty starting,1,Dead battery,Replace battery,1355,2259
car,Mercedes,C-Class,2024,0,242521,petrol,manual,2200,low,"high fuel consumption, engine overheating",2,Thermostat valve failure,Replace thermostat,591,1051
car,Volkswagen,Tiguan,2007,17,307410,petrol,automatic,1000,high,"suspension noise, vehicle wanders on road, excessive bouncing",3,Worn shock absorbers,Replace shock absorbers,3320,5735
car,Mercedes,E-Class,2018,6,185743,hybrid,manual,1600,high,"battery warning light, electrical accessories failing, dim headlights",3,Alternator belt wear,Replace alternator,2736,4789
truck,Ford,Fiesta,2013,11,339386,diesel,automatic,3000,medium,"burning smell, clutch slipping",2,Clutch pressure plate failure,Replace clutch kit,4719,8259
car,BMW,X5,2023,1,128016,hybrid,manual,2200,low,AC not cooling well,1,AC gas leak,Refill AC refrigerant,390,716
car,Ford,Transit,2020,4,177592,diesel,automatic,2000,medium,"battery warning light, check engine light, difficulty starting",3,Dead battery,Replace battery,1064,1774
car,Mercedes,A-Class,2020,4,103041,diesel,automatic,2200,low,"AC not cooling well, check engine light",2,AC gas leak,Refill AC refrigerant,387,709
car,BMW,X3,2021,3,43579,hybrid,manual,2000,high,"engine knocking noise, loss of power, rough idle",3,Timing belt tensioner failure,Replace timing belt,2496,4417
truck,Mercedes,E-Class,2012,12,229189,diesel,manual,6000,high,"engine overheating, coolant level dropping, coolant overflow",3,Radiator crack,Replace radiator,3564,6031
car,BMW,Serie 5,2024,0,31320,diesel,manual,1000,high,"sweet smell from engine bay, coolant overflow",2,Cracked coolant hose,Fix coolant leak,1043,1913
truck,Isuzu,NPR,2006,18,177664,petrol,automatic,3500,high,"transmission jerking, burning smell, difficulty changing gears, clutch slipping",4,Worn clutch disc,Replace clutch kit,5340,9346
car,Ford,Kuga,2017,7,300555,diesel,manual,2000,medium,vehicle wanders on road,1,Ball joint wear,Replace ball joint,1665,2914
truck,Mercedes,Sprinter,2017,7,244919,petrol,manual,3000,low,"excessive bouncing, suspension noise, vehicle wanders on road",3,Worn shock absorbers,Replace shock absorbers,1796,3103
car,Renault,Kangoo,2006,18,124912,diesel,manual,1000,high,"transmission jerking, difficulty changing gears, gear slipping",3,Gearbox synchronizer failure,Repair gearbox,8226,15278
truck,Ford,Ranger,2012,12,39271,hybrid,manual,4000,medium,"loss of power, noise when braking",2,Disc surface wear,Replace brake discs,1945,3242
car,Hyundai,i20,2018,6,337357,petrol,automatic,1600,medium,car pulls to one side,1,Seized caliper,Replace brake caliper,2169,3905
truck,Mercedes,E-Class,2005,19,340228,hybrid,manual,3500,medium,"white smoke from exhaust, engine overheating, loss of power",3,Overheating damage to gasket,Replace head gasket,10326,18071
moto,Honda,CRF,2005,19,116826,diesel,automatic,125,medium,"battery warning light, dim headlights, electrical accessories failing",3,Alternator belt wear,Replace alternator,2262,3960
bus,Isuzu,NPR,2008,16,307826,diesel,manual,6000,high,"vehicle wanders on road, noise when braking, brake pedal vibration",3,Warped brake disc,Replace brake discs,3580,5966
car,Renault,Duster,2024,0,285084,hybrid,automatic,1800,medium,"fuel smell, high fuel consumption, engine stalls",3,Clogged fuel injector,Replace fuel injectors,1954,3712
car,Ford,Transit,2019,5,37435,petrol,manual,2500,low,"engine overheating, coolant level dropping, white smoke from exhaust",3,Overheating damage to gasket,Replace head gasket,4727,8273
car,Ford,Kuga,2019,5,290605,petrol,automatic,1800,medium,"check engine light, engine knocking noise, loss of power",3,Timing belt wear,Replace timing belt,2865,5069
car,Volkswagen,Polo,2018,6,143954,hybrid,manual,1200,medium,"burning smell, difficulty changing gears",2,Clutch pressure plate failure,Replace clutch kit,3487,6102
car,Hyundai,i30,2018,6,87481,hybrid,manual,2500,medium,high fuel consumption,1,Thermostat valve failure,Replace thermostat,675,1200
truck,Ford,Kuga,2017,7,79805,petrol,automatic,3000,critical,"sweet smell from engine bay, engine overheating",2,Radiator pinhole leak,Fix coolant leak,1656,3037
moto,Honda,CRF,2024,0,162019,petrol,automatic,400,low,"vehicle wanders on road, clunking when turning",2,Ball joint wear,Replace ball joint,1032,1807
truck,Mercedes,Sprinter,2006,18,211967,diesel,automatic,4000,medium,"battery warning light, dim headlights, electrical accessories failing",3,Alternator failure,Replace alternator,2678,4686
bus,Mercedes,Vito,2012,12,10444,hybrid,automatic,7000,high,AC not cooling well,1,AC gas leak,Refill AC refrigerant,622,1141
car,Hyundai,Tucson,2005,19,332191,diesel,automatic,1600,high,"car pulls to one side, burning smell, noise when braking",3,Seized caliper,Replace brake caliper,3049,5488
car,Volkswagen,Tiguan,2016,8,299621,hybrid,manual,2200,high,difficulty changing gears,1,Gearbox synchronizer failure,Repair gearbox,9861,18314
car,Renault,Symbol,2011,13,109668,petrol,manual,2200,high,AC making noise,1,Compressor clutch wear,Replace AC compressor,6117,11010
moto,Yamaha,NMAX,2017,7,43376,hybrid,manual,125,low,"fuel smell, high fuel consumption, rough idle",3,Injector seal failure,Replace fuel injectors,1130,2148
car,Toyota,Corolla,2017,7,78221,diesel,manual,2500,low,"excessive bouncing, vehicle wanders on road, suspension noise",3,Worn shock absorbers,Replace shock absorbers,1316,2273
moto,Yamaha,R3,2016,8,94019,diesel,automatic,400,high,"rough idle, engine overheating",2,Stuck thermostat,Replace thermostat,940,1671
truck,Ford,Kuga,2016,8,239432,hybrid,automatic,4000,high,"engine knocking noise, burning smell",2,Valve cover gasket leak,Fix oil leak,2229,4180
car,Toyota,Hilux,2022,2,64193,petrol,manual,1600,high,"AC not cooling well, check engine light, high fuel consumption",3,AC gas leak,Refill AC refrigerant,586,1075
bus,Mercedes,E-Class,2024,0,32704,hybrid,automatic,6000,medium,"check engine light, high fuel consumption",2,O2 sensor contamination,Replace oxygen sensor,853,1564
car,Mercedes,Vito,2016,8,217375,petrol,manual,1600,medium,"check engine light, dim headlights, battery warning light",3,Dead battery,Replace battery,1102,1837
car,Volkswagen,Tiguan,2007,17,149887,diesel,automatic,1000,critical,"engine overheating, rough idle, white smoke from exhaust",3,Overheating damage to gasket,Replace head gasket,13266,23216
car,Ford,Ranger,2020,4,89948,hybrid,manual,1800,high,"brake pedal feels soft, brake pedal vibration, noise when braking, car pulls to one side",4,Brake pad degradation,Replace brake pads,1190,2182
truck,Isuzu,D-Max,2019,5,249519,hybrid,automatic,4000,medium,"dim headlights, battery warning light",2,Dead battery,Replace battery,1228,2047
car,Toyota,Hilux,2011,13,262348,diesel,manual,1400,medium,"check engine light, high fuel consumption, black smoke from exhaust",3,Failed O2 sensor,Replace oxygen sensor,1376,2523
car,Ford,Fiesta,2017,7,107250,hybrid,manual,1600,critical,"engine overheating, rough idle, white smoke from exhaust, coolant level dropping",4,Blown head gasket,Replace head gasket,10760,18830
car,Renault,Megane,2022,2,210152,hybrid,automatic,1800,low,"vehicle wanders on road, excessive bouncing, suspension noise",3,Shock absorber oil leak,Replace shock absorbers,1544,2667
moto,Honda,PCX,2022,2,276170,diesel,automatic,600,low,"burning smell, difficulty changing gears",2,Clutch pressure plate failure,Replace clutch kit,2849,4987
car,Renault,Symbol,2016,8,259302,hybrid,automatic,1600,high,"coolant overflow, coolant level dropping",2,Radiator crack,Replace radiator,3252,5504
car,Peugeot,206,2020,4,219018,petrol,automatic,1200,high,"coolant overflow, engine overheating, coolant level dropping, sweet smell from engine bay",4,Cracked coolant hose,Fix coolant leak,1570,2879
car,Renault,Kangoo,2017,7,194150,hybrid,manual,1400,low,"car pulls to one side, burning smell, brake pedal feels soft",3,Caliper hydraulic leak,Replace brake caliper,1523,2742
car,Hyundai,i10,2011,13,167457,petrol,manual,2000,high,"rough idle, engine overheating",2,Thermostat valve failure,Replace thermostat,1208,2148
moto,Yamaha,XT660,2019,5,216898,diesel,automatic,250,low,"black smoke from exhaust, high fuel consumption, fuel smell, rough idle",4,Clogged fuel injector,Replace fuel injectors,1412,2684
car,Kia,Carnival,2018,6,248930,petrol,manual,2000,high,"transmission jerking, difficulty changing gears",2,Gearbox synchronizer failure,Repair gearbox,8821,16382
car,Volkswagen,Passat,2010,14,222621,petrol,automatic,1800,high,"brake pedal vibration, noise when braking",2,Disc surface wear,Replace brake discs,3496,5827
car,Hyundai,i20,2023,1,345932,hybrid,automatic,2200,high,"rough idle, check engine light, high fuel consumption",3,Failed O2 sensor,Replace oxygen sensor,1748,3205
